trade_number,start_date,end_date,asset,entry_reason,holding_trading_days,entry_price,exit_price,return_pct
1,2016-07-08,2017-04-24,BIL,warmup_insufficient_history,199,73.66290283203125,73.77413177490234,0.15099723007756527
2,2017-04-24,2018-10-11,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,371,3.627150058746338,6.360786437988281,75.36595770693803
3,2018-10-11,2018-10-12,BIL,bear_gate_spy_below_200_sma,1,75.14067840576172,75.14067840576172,0.0
4,2018-10-12,2018-10-23,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,7,6.898082733154297,6.730474948883057,-2.4297734711946295
5,2018-10-23,2018-11-06,BIL,bear_gate_spy_below_200_sma,10,75.18173217773438,75.23927307128906,0.07653573798840352
6,2018-11-06,2018-11-12,TQQQ,weak_uptrend_spy_above_20_sma,4,6.256180286407471,5.8139801025390625,-7.068213568415816
7,2018-11-12,2018-11-28,BIL,bear_gate_spy_below_200_sma,11,75.26395416259766,75.33795928955078,0.09832745007423149
8,2018-11-28,2018-11-29,TQQQ,weak_uptrend_spy_above_20_sma,1,5.956624507904053,5.901944637298584,-0.91796739131218
9,2018-11-29,2018-11-30,BIL,bear_gate_spy_below_200_sma,1,75.34616088867188,75.35443115234375,0.010976357088843258
10,2018-11-30,2018-12-04,TQQQ,weak_uptrend_spy_above_20_sma,2,6.02556848526001,5.638050079345703,-6.431233946842852
11,2018-12-04,2019-02-04,BIL,bear_gate_spy_below_200_sma,40,75.36019897460938,75.63993072509766,0.3711929563542382
12,2019-02-04,2019-02-07,TQQQ,weak_uptrend_spy_above_20_sma,3,5.726609706878662,5.5932936668396,-2.3280098847827335
13,2019-02-07,2019-02-12,BIL,bear_gate_spy_below_200_sma,3,75.65645599365234,75.6812744140625,0.032804101228633975
14,2019-02-12,2019-05-31,TQQQ,weak_uptrend_spy_above_20_sma,75,5.851591110229492,5.979886531829834,2.1924878068814824
15,2019-05-31,2019-06-04,BIL,bear_gate_spy_below_200_sma,2,76.20403289794922,76.21736907958984,0.017500624485955463
16,2019-06-04,2020-02-27,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,185,6.051330089569092,9.031440734863281,49.2472002218342
17,2020-02-27,2020-03-02,BIL,bear_gate_spy_below_200_sma,2,77.2182846069336,77.23267364501953,0.018634236902803636
18,2020-03-02,2020-03-03,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,1,10.423917770385742,9.442395210266113,-9.416062000298254
19,2020-03-03,2020-03-04,BIL,bear_gate_spy_below_200_sma,1,77.24954986572266,77.28330993652344,0.04370261167794265
20,2020-03-04,2020-03-05,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,1,10.588297843933105,9.659187316894531,-8.774880917908224
21,2020-03-05,2020-05-26,BIL,bear_gate_spy_below_200_sma,56,77.30020141601562,77.34747314453125,0.06115343511359228
22,2020-05-26,2022-01-21,TQQQ,weak_uptrend_spy_above_20_sma,419,9.397130012512207,27.001407623291016,187.3367462974211
23,2022-01-21,2022-01-24,BIL,bear_gate_spy_below_200_sma,1,77.24858093261719,77.25704193115234,0.010952950116371873
24,2022-01-24,2022-01-25,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,1,27.392114639282227,25.37189292907715,-7.375194419301745
25,2022-01-25,2022-01-28,BIL,bear_gate_spy_below_200_sma,3,77.24017333984375,77.24017333984375,0.0
26,2022-01-28,2022-02-11,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,10,26.85846710205078,25.38618278503418,-5.48163940787293
27,2022-02-11,2022-02-15,BIL,bear_gate_spy_below_200_sma,2,77.24017333984375,77.24858093261719,0.010884999877514012
28,2022-02-15,2022-02-17,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,2,27.30158233642578,24.876365661621094,-8.88306269182414
29,2022-02-17,2022-03-18,BIL,bear_gate_spy_below_200_sma,20,77.24017333984375,77.25874328613281,0.02404182368591634
30,2022-03-18,2022-04-11,TQQQ,weak_uptrend_spy_above_20_sma,16,25.333772659301758,22.946674346923828,-9.42259309136676
31,2022-04-11,2022-08-16,BIL,bear_gate_spy_below_200_sma,87,77.26717376708984,77.4457015991211,0.23105262341986954
32,2022-08-16,2022-08-17,TQQQ,weak_uptrend_spy_above_20_sma,1,18.41069984436035,17.772232055664062,-3.467916994431186
33,2022-08-17,2022-11-30,BIL,bear_gate_spy_below_200_sma,73,77.4457015991211,78.05912780761719,0.792072633896912
34,2022-11-30,2022-12-05,TQQQ,weak_uptrend_spy_above_20_sma,3,11.225571632385254,10.591872215270996,-5.6451416272296
35,2022-12-05,2022-12-13,BIL,bear_gate_spy_below_200_sma,6,78.09329986572266,78.170166015625,0.09842861043714013
36,2022-12-13,2022-12-14,TQQQ,weak_uptrend_spy_above_20_sma,1,10.639519691467285,10.386988639831543,-2.3735192843175823
37,2022-12-14,2023-01-11,BIL,bear_gate_spy_below_200_sma,18,78.1957778930664,78.36785125732422,0.22005454628652998
38,2023-01-11,2023-01-18,TQQQ,weak_uptrend_spy_above_20_sma,4,9.296232223510742,9.32017993927002,0.257606686058387
39,2023-01-18,2023-01-20,BIL,bear_gate_spy_below_200_sma,2,78.4449691772461,78.48778533935547,0.054581144665410974
40,2023-01-20,2023-03-10,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,34,9.765594482421875,10.000272750854492,2.4031129784780614
41,2023-03-10,2023-03-14,BIL,bear_gate_spy_below_200_sma,2,78.94422912597656,78.97013092041016,0.03281024429571122
42,2023-03-14,2023-03-15,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,1,10.910262107849121,11.06831169128418,1.4486323231533982
43,2023-03-15,2023-03-16,BIL,bear_gate_spy_below_200_sma,1,79.01321411132812,79.04769134521484,0.04363476954392098
44,2023-03-16,2023-10-25,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,154,11.944771766662598,15.892084121704102,33.04636063502111
45,2023-10-25,2023-11-02,BIL,bear_gate_spy_below_200_sma,6,81.41358947753906,81.53631591796875,0.15074441652465076
46,2023-11-02,2025-03-10,TQQQ,weak_uptrend_spy_above_20_sma,336,17.603986740112305,29.541990280151367,67.81420434064076
47,2025-03-10,2025-03-24,BIL,bear_gate_spy_below_200_sma,10,87.15404510498047,87.28738403320312,0.15299224271465572
48,2025-03-24,2025-03-26,TQQQ,weak_uptrend_spy_above_20_sma,2,32.66362762451172,31.397682189941406,-3.8757037311443976
49,2025-03-26,2025-05-12,BIL,bear_gate_spy_below_200_sma,32,87.3064193725586,87.76821899414062,0.5289411991704851
50,2025-05-12,2026-03-20,TQQQ,weak_uptrend_spy_above_20_sma,215,32.750091552734375,42.91009521484375,31.022825220960627
51,2026-03-20,2026-04-08,BIL,bear_gate_spy_below_200_sma,12,90.77095031738281,90.91389465332031,0.15747806477479642
52,2026-04-08,2026-07-07,TQQQ,weak_uptrend_spy_above_20_sma,61,47.88973617553711,72.2300033569336,50.825644752308975
