trade_number,start_date,end_date,asset,entry_reason,holding_trading_days,entry_equity,exit_equity,return_pct
1,2016-07-08,2017-04-24,CASH,warmup_insufficient_history_to_cash,199,100000.0,100000.0,0.0
2,2017-04-24,2018-10-11,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,371,100000.0,175365.95770693803,75.36595770693803
3,2018-10-11,2018-10-12,CASH,bear_gate_spy_below_200_sma_to_cash,1,175365.95770693803,175365.95770693803,0.0
4,2018-10-12,2018-10-23,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,7,175365.95770693803,171104.96218906846,-2.4297734711946295
5,2018-10-23,2018-11-06,CASH,bear_gate_spy_below_200_sma_to_cash,10,171104.96218906846,171104.96218906846,0.0
6,2018-11-06,2018-11-12,TQQQ,weak_uptrend_spy_above_20_sma,4,171104.96218906846,159010.89803538797,-7.068213568415816
7,2018-11-12,2018-11-28,CASH,bear_gate_spy_below_200_sma_to_cash,11,159010.89803538797,159010.89803538797,0.0
8,2018-11-28,2018-11-29,TQQQ,weak_uptrend_spy_above_20_sma,1,159010.89803538797,157551.22984279046,-0.91796739131218
9,2018-11-29,2018-11-30,CASH,bear_gate_spy_below_200_sma_to_cash,1,157551.22984279046,157551.22984279046,0.0
10,2018-11-30,2018-12-04,TQQQ,weak_uptrend_spy_above_20_sma,2,157551.22984279046,147418.7416654725,-6.431233946842852
11,2018-12-04,2019-02-04,CASH,bear_gate_spy_below_200_sma_to_cash,40,147418.7416654725,147418.7416654725,0.0
12,2019-02-04,2019-02-07,TQQQ,weak_uptrend_spy_above_20_sma,3,147418.7416654725,143986.81878747797,-2.3280098847827446
13,2019-02-07,2019-02-12,CASH,bear_gate_spy_below_200_sma_to_cash,3,143986.81878747797,143986.81878747797,0.0
14,2019-02-12,2019-05-31,TQQQ,weak_uptrend_spy_above_20_sma,75,143986.81878747797,147143.71223291018,2.192487806881638
15,2019-05-31,2019-06-04,CASH,bear_gate_spy_below_200_sma_to_cash,2,147143.71223291018,147143.71223291018,0.0
16,2019-06-04,2020-02-27,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,185,147143.71223291018,219607.87081009112,49.247200221834284
17,2020-02-27,2020-03-02,CASH,bear_gate_spy_below_200_sma_to_cash,2,219607.87081009112,219607.87081009112,0.0
18,2020-03-02,2020-03-03,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,1,219607.87081009112,198929.45753707804,-9.416062000298254
19,2020-03-03,2020-03-04,CASH,bear_gate_spy_below_200_sma_to_cash,1,198929.45753707804,198929.45753707804,0.0
20,2020-03-04,2020-03-05,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,1,198929.45753707804,181473.63452755864,-8.774880917908224
21,2020-03-05,2020-05-26,CASH,bear_gate_spy_below_200_sma_to_cash,56,181473.63452755864,181473.63452755864,0.0
22,2020-05-26,2022-01-21,TQQQ,weak_uptrend_spy_above_20_sma,419,181473.63452755864,521440.43683916057,187.33674629742123
23,2022-01-21,2022-01-24,CASH,bear_gate_spy_below_200_sma_to_cash,1,521440.43683916057,521440.43683916057,0.0
24,2022-01-24,2022-01-25,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,1,521440.43683916057,482983.19084141613,-7.375194419301745
25,2022-01-25,2022-01-28,CASH,bear_gate_spy_below_200_sma_to_cash,3,482983.19084141613,482983.19084141613,0.0
26,2022-01-28,2022-02-11,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,10,482983.19084141613,456507.79391885095,-5.48163940787293
27,2022-02-11,2022-02-15,CASH,bear_gate_spy_below_200_sma_to_cash,2,456507.79391885095,456507.79391885095,0.0
28,2022-02-15,2022-02-17,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,2,456507.79391885095,415955.9203919761,-8.88306269182414
29,2022-02-17,2022-03-18,CASH,bear_gate_spy_below_200_sma_to_cash,20,415955.9203919761,415955.9203919761,0.0
30,2022-03-18,2022-04-11,TQQQ,weak_uptrend_spy_above_20_sma,16,415955.9203919761,376762.0865739907,-9.42259309136676
31,2022-04-11,2022-08-16,CASH,bear_gate_spy_below_200_sma_to_cash,87,376762.0865739907,376762.0865739907,0.0
32,2022-08-16,2022-08-17,TQQQ,weak_uptrend_spy_above_20_sma,1,376762.0865739907,363696.29014511773,-3.467916994431186
33,2022-08-17,2022-11-30,CASH,bear_gate_spy_below_200_sma_to_cash,73,363696.29014511773,363696.29014511773,0.0
34,2022-11-30,2022-12-05,TQQQ,weak_uptrend_spy_above_20_sma,3,363696.29014511773,343165.1194734459,-5.6451416272296
35,2022-12-05,2022-12-13,CASH,bear_gate_spy_below_200_sma_to_cash,6,343165.1194734459,343165.1194734459,0.0
36,2022-12-13,2022-12-14,TQQQ,weak_uptrend_spy_above_20_sma,1,343165.1194734459,335020.0291856922,-2.3735192843175934
37,2022-12-14,2023-01-11,CASH,bear_gate_spy_below_200_sma_to_cash,18,335020.0291856922,335020.0291856922,0.0
38,2023-01-11,2023-01-18,TQQQ,weak_uptrend_spy_above_20_sma,4,335020.0291856922,335883.0631805093,0.257606686058387
39,2023-01-18,2023-01-20,CASH,bear_gate_spy_below_200_sma_to_cash,2,335883.0631805093,335883.0631805093,0.0
40,2023-01-20,2023-03-10,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,34,335883.0631805093,343954.71266430983,2.4031129784780614
41,2023-03-10,2023-03-14,CASH,bear_gate_spy_below_200_sma_to_cash,2,343954.71266430983,343954.71266430983,0.0
42,2023-03-14,2023-03-15,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,1,343954.71266430983,348937.3518089744,1.4486323231533982
43,2023-03-15,2023-03-16,CASH,bear_gate_spy_below_200_sma_to_cash,1,348937.3518089744,348937.3518089744,0.0
44,2023-03-16,2023-10-25,TQQQ,confirmed_uptrend_spy_above_200_and_10_above_200,154,348937.3518089744,464248.44747806055,33.04636063502113
45,2023-10-25,2023-11-02,CASH,bear_gate_spy_below_200_sma_to_cash,6,464248.44747806055,464248.44747806055,0.0
46,2023-11-02,2025-03-10,TQQQ,weak_uptrend_spy_above_20_sma,336,464248.44747806055,779074.8382990833,67.81420434064043
47,2025-03-10,2025-03-24,CASH,bear_gate_spy_below_200_sma_to_cash,10,779074.8382990833,779074.8382990833,0.0
48,2025-03-24,2025-03-26,TQQQ,weak_uptrend_spy_above_20_sma,2,779074.8382990833,748880.2057227185,-3.8757037311443976
49,2025-03-26,2025-05-12,CASH,bear_gate_spy_below_200_sma_to_cash,32,748880.2057227185,748880.2057227185,0.0
50,2025-05-12,2026-03-20,TQQQ,weak_uptrend_spy_above_20_sma,215,748880.2057227185,981204.0030584472,31.022825220960538
51,2026-03-20,2026-04-08,CASH,bear_gate_spy_below_200_sma_to_cash,12,981204.0030584472,981204.0030584472,0.0
52,2026-04-08,2026-07-07,TQQQ,weak_uptrend_spy_above_20_sma,61,981204.0030584472,1479907.2639483688,50.82564475230902
